Final List of Articles,Balanace,Researcher notes about benefits,Researcher notes about risks,"Risks or benefits that weren't metnioned, but may be relevant",Tone towards AI,1-2 sentence summary,Application,Other comments worth calling out
2024-05-15 - WKT - Companys AI web building tool,Only Benefits,,,,Positive,Describes a new tool by New Zealand business that writes content for websites. ,Concrete/existing,
2024-05-16 - PRS - Hunt for deep nude distributor,Both Risks and Benefits,,,"Part of the article is describing how the school wasn't prepared for this, and would respond differently next time; this signals a potential 6.5 risk (school did not yet have a policy for this new technology). ",Ambivalent,Follows up on the experiences and responses of students and adults who dealt with deepfake nudes being shared around a high school last week. ,Concrete/existing,"States some positives and negatives (AI is a genie) although the article is generally negative in tone, it does end on a slightly less negative note so I chose ambivalent. "
2024-05-16 - PST - The changing face of executive,Only Benefits,,"There's an example of AI companies using their power QUOTE: [""Whether we want it or not, AI is being pushed into our organisations by big tech. It is turning up in every product and every software tool that we use, [most of] which will be AI-enabled by the end of this year.""]. However, this isn't directly referencing a risk or harm that arises from that use of power, nor is it referencing the concentration of power or unfair distribution of benefits generated by that power concentration. Therefore, it isn't logged as risk 6.1",,Positive,"Summarises how AI may be expected to change work, and gives examples from leaders in workplace productivity. ",Concrete/existing,
2024-05-16 - STF - Tova podcast- I would never gi,Only Risks,,"I've counted content about attention and addiction as Risk 5.2, as it indicates an unwilling loss of ability to control one's own behaviour. Risk 3.2 is referenced (hyper-personalised content), with the examples of toxic content as the loss of consensus of reality - they are receiving content that filters and distorts their view of what's occuring in the world (example: romanticisation of self-harm and depressive thinking). Therefore, explanatory reference to Risk 3.2. The examples of toxic content being served also count as a Risk 1.2 because they are served by a recommender algorithm.",,Ambivalent,"Describes issues with TikTok's app, including research about addiction on algorithmically-derived content, harmful content on the platforms, data collection and international challenges with TikTok's upcoming removal from the US market unless sold. ",Concrete/existing,"Uses headings, a good explainer formatting choice. It's mostly a negative article by tone, but includes a substantial number of comments which respond to the concerns, so it's ambivalent rather than classed purely as a negative article. "
2024-05-17 - TMH - Sony Music warns AI firms over,Only Risks,,,,Negative,Describes Sony music's recent action to notify AI companies of upcoming expectations around use of copyrighted music material. ,Concrete/existing,
2024-05-19 - PRS - No need to scan-       Superma,Only Benefits,"The benefits included near the end are implicit (updatability and interoperability): There's a benefit of using AI for this application because it can be updated via specifying the fruits that it wasn't previously trained on in China; there's also interoperability enabling them to use different hardware for the same AI system (the accredited scales). However, this is a relatively clunky example of interoperability... as they needed to ship them back to China. 
The final sentence references three benefits: Faster checkout (higher productivity for business), more informed decision-making (about what stock to order), and greater reliability in their service (by ensuring they have products on the shelf, resulting in fewer shoppers going home empty-handed). ","There's a sentence about how it cannot yet weigh two different produce items at once; only one type of produce can be weighed and priced. While this is a comment about the lack of capability, it isn't talking about a risk of it being incapable for normal use - just a limitation on the current technology that has resulted in rules of intended use (only weigh one fruit at a time). Therefore, this comment is NOT classed as Risk 7.3 (lack of capabilities for intended use). ",,Positive,A new AI camera supports faster weighing of fruits and vegetables at the checkout counter. They also mention automated shelf-scanning. ,Both concrete and potential,
2024-05-19 - RNZ - Police use images from number,Both Risks and Benefits,,"This article seems to imply misuse by police in the current day, and refrences misuse two years ago. Therefore, I have counted this as a referenced to AI-assisted surveillance or abuse of power (Risk 4.1).
It also states that thousands of officers have authorized access to Auror and SaferCities, but doesn't indicate that this is a privacy risk. Therefore, I haven't counted this as a reference to Risk 2 - privacy and security issues.
It also gives an example of the current policy, implying that Risk 6.5 (governance unable to appropriately regulate with new technology) is not a valid concern. It doesn't directly state a risk of governance being unable to regulate new technology, so I have not counted it as a governance risk. ",,Ambivalent,Describes current police use of ANPR and context relevant to an ongoing legal challenge. ,Concrete/existing,"As the article demonstrates that there's an ongoing investigation into police misuse, and also describes a current policy that ensures apporpriate use of ANPR, as well as some reasons why ANPR may be useful for improving Police's productivity. Therefore, this article presents both risks and benefits, as well as reasons why the stated risk may not actually be a concern. "
2024-05-21 - NZH - Air NZ taking AI into the skie,Only Benefits,The bottom section describes use of tablets to personalize your experience on the airplane; this isn't about AI (and a segway directly indicates this isn't using AI). ,,,Positive,Summarizes the current and near-future use of AI across Air New Zealand's business. ,Concrete/existing,
2024-05-21 - RNZ - US company with NZ prison cont,Only Benefits,,,"While this article is talking a lot about use of AI to record personal and private interactions of prison inmates, for surveillence… it doesn't once mention the risk of misuse of surveillance technology. ",Positive,"Describes AI technologies outlined in a 2021 whitepaper as key technologies for future prisons, written by an american conglomerate with a major NZ prison contract.",Hypothetical or predicted,"Note that the technologies described are just technologies mentioned in a 2021 report - not at use in NZ prisons, and the article doesn't make it clear whether a few of the technologies exist or are still hypothetical. "
2024-05-22 - RNZ - AI expected to supercharge pro,Both Risks and Benefits,,"I've counted this final risk as 4.2 because the bottom of the paragraph describes lack of cyber security, implying that NZ is vulnerable to cyberattacks facilitated or carried out by AI. Risks of copyright infringement and automation seem to be referring to job loss (6.2) and theft of copyrighted works, or loss of creative industries. ",,Ambivalent,"Describes productivity gains expected by AI in the recent PwC's AI Jobs Barometer, and also mentions some risks at the bottom. ",Both concrete and potential,
2024-05-27 - RNZ - New Zealand continues to call,Both Risks and Benefits,"I am interpreting the reference to interoperability as saying: ""we need to ensure that we can buy or use technology that enables us to defend ourselves (national security), and maintain ability to work with security partners' technology (interoperability)."" This doesn't necessarily refer to AI being better than other tech because it's interoperable with our allies' technology. It *might* be stating that AI tech is important as it maintains interoperability as allies get smarter tech, but it might also be referring to non-AI technology that can interface with AI technology (and indeed, security partners updating to systems that *aren't* interoperable with non-AI systems would be a counter-example to the statement ""A benefit of AI is that it is highly interoperable with other systems."") Because I can't exactly confirm what the meaning of this sentence is, I will NOT record it as an example of ""Benefit - Interoperability.""","Provides a lot of commentary on the difficulties of advancing policy and governance of AI weapons systems, and does explicitly reference the necessity of human oversight, and consequences of AI use that doesn't have explicit oversight. Therefore, this does count as a reference to risk 6.5.",,Ambivalent,"Describes New Zealand's current involvement with international law regarding AI use in war, and gives examples of benefits and risks. ",Both concrete and potential,"Some of the examples aren't clearly current systems. E.g. ""responsible militaries will develop and use AI-enabled capabilities in innovative ways to strengthen protections"" refers to tech that isn't yet developed. "
2024-05-27 - STF - Newsable- AI could soon be ans,Only Benefits,"This is ""human independence' because there's a benefit (less awkward phone calls) to not having to answer the phone yourself. ",,,Positive,A new service allows users to screen calls with an AI chatbot that sounds like their voice. ,Concrete/existing,
2024-05-28 - WHC - AI and EVs add to soaring elec,Both Risks and Benefits,,"Risk 6.6: For this article, I have assumed that additional electricity is an environmental harm (even though this is not explicitly the case, if it's sustainable energy sources). This is because half way down the article, it mentions that not all of NZ's power is renewable. When talking about power use in the US, there is less sustainable energy and therefore I've also assumed references to US energy use are an environmental harm. Risk 6: Increased prices for consumers is a generic socio-economic effect, as it doesn't explicitly state that this will be concentrated in certain types of consumers. ",,Ambivalent,AI use is expected to increase electricity demands; this article explains some ways this might be achieved and financial impact of this on consumers and investors. ,Both concrete and potential,"I've called this article ambivalent  because it's talking about impact of increased electricity usage, including consumer prices go up, and also including investors can expect big returns. It doesn't spend a larger amount of time on either positives nor negatives of the increase in electricity. "
2024-06-01 - STF - Is AI an existential threat to,Both Risks and Benefits,"Sentences early in the article talk about harnessing AI to its full potential, so I have treated ""technological advances"" in the final paragraphs as referring to AI.","The reference to 'global existential risk' can refer to many domains in this, generally falling under Domain 7 (7.1 and 7.2 in particular), but sometimes this can also include risks from humans using AI (e.g. 3.2, 4.1 and 4.2). However, a reader wouldn't be able to tell from the sentence. Therefore, I've classed that early sentence as ""Risks - domain unspecified"". ",,Ambivalent,Describes Nick Bostrom's new book about Utopia. ,Hypothetical or predicted,Gives some positives and negatives of AI
2024-06-05 - RNZ - Software for new supermarket b,Both Risks and Benefits,,,"While it gives information about where NZ data is stored (in Canberra), it doesn't point to this as a risk, therefore I'm not noting this as Risk 8.1 National data sovereignty. QUOTE: [The new Axon-Auror partnership would include Axon's data system Evidence.com, to store footage. ""With this new integration, once an investigation is at the hand-off point, law enforcement are able to export and securely transfer a full evidence package from Auror Investigate to Axon's Evidence.com,"" Axon said. 
New Zealand police already used Evidence.com to store taser and family violence interview footage on servers in Canberra. They were in the process of replacing their Axon tasers at a cost of $30 million.]",Ambivalent,Describes new police use of identification AI using footage captured from retail and shared with police. ,Concrete/existing,
2024-06-09 - NZH - Dirty data is emerging as an A,Both Risks and Benefits,"Using AI to augment customer service is a bit vague, but indicates that it's intended to improve customer's experience via better services (greater reliability or quality). ","As this article situated data through the lense of it's impact on AI, I have considered the risks of dirty data e.g. security risks, or misuse, to apply to AI. ",,Ambivalent,Describes survey results from a recent survey on NZ companies data use. ,Hypothetical or predicted,"Presents expected benefits of AI use, but warns that these won't eventuate unless data is clean; thus, seems ambivalent "
2024-06-10 - RNZ - Dirty data poses risk to quali,Both Risks and Benefits,,"Although it discusses where data is stored, it does not present offsite storage as a risk, and therefore I haven't classified the final 2 sentences as a Data Sovereignty risk. ",,Ambivalent,"Describes data quality around NZ as a result of a recent data use survey, and the impact on company use of AI. ",Hypothetical or predicted,"Presents expected benefits of AI use, but warns that these won't eventuate unless data is clean; thus, seems ambivalent "
2024-06-11 - SCP - Fact Checking Artificial Intel,Both Risks and Benefits,,"There's an example of AI companies using their power QUOTE: [""This incredible development is being forced on the tech world, with plenty of potholes on the way.""]. However, this isn't directly referencing a risk or harm that arises from that use of power, nor is it referencing the concentration of power or unfair distribution of benefits generated by that power concentration. Therefore, it isn't logged as risk 6.1",,Negative,"Describes issues around misinformation and lack of ability to fact-check current AI models, such as Google's search results review. ",Concrete/existing,"Although there are some benefits mentioned, the tone of the article is more cautionary than neutral or ambivalent; it provides much more information about risks than benefits, and the benefits seems more hypothetical. "
2024-06-12 - NZH - AI driving global stock market,Only Benefits,,"The final paragraph talks about companies increasing revenue because thjey can automate software and service industries with AI. This is a discussion about job loss, but it's phrased in a positive sense, of decreased costs. Because it doesn't refer to this as a risk of job loss, I haven't recorded this as Risk 6.2","Mentions job loss, but it phrased positively (increased economic returns of company).",Positive,"Describes current impact of AI on the economy, and expected impact on different sectors as AI develops",Hypothetical or predicted,Did not give concrete application of AI; it gave a general overview of expected AI use and impact on the economy. 
2024-06-12 - NZH - AI is ushering in a new era,Both Risks and Benefits,,,,Positive,"Describes benefits to businesses using AI, alongside some challenges and risks",Concrete/existing,"Uses headings, a good explainer formatting choice. Although it describes both benefits and risks, the tone of the article is much more about the positives; the risks are mentioned as manageable and worthwhile. "
2024-06-13 - NZH - Smartest teen now runs AI star,Only Benefits,,,"Doesn't mention Risk of misinformation, despite mentioning how high quality the video content is getting.",Positive,Describes a new startup of a New Zealand young person that makes videos for online video platforms. ,Concrete/existing,"Mentions possibilities of technology in the future, but most of the article is about current AI video generation. "
2024-06-13 - RNZ - Youre going to have a flying t,Both Risks and Benefits,,,,Positive,Describes three new technologies that help with pest eradication,Concrete/existing,I haven't coded risks nor benefits for sections where it's unclear that they're referencing AI (e.g. the Deer hunting drones and the pesticide drones). 
2024-06-16 - NSM - Using AI could erode childrens,Both Risks and Benefits,,"References incorrect outputs, which I've classed as misinformation (3.2). The article doesn't refer to any specific content under 7.3 e.g. out-of-distribution content, so it's not drawing attention to the lack of robustness or capability. ",,Ambivalent,Describes responses in the education sector to new uses and applications of AI for education. ,Both concrete and potential,
2024-06-16 - NZH - Netsafes new AI tool hitting b,Both Risks and Benefits,,,,Ambivalent,"Describes a new tool to waste scammers' time, as well as use of AI to improve quality of scams.",Concrete/existing,"The institutions in this article are both the scammers (in their work, they have a better quality product by improving the spelling an grammar in their scam, due to AI) and the NetSafe ReScam bot, where AI is improving their ability to identify and protect against scammers. "
"2024-06-17 - RDP - How much are councils, govt de",Both Risks and Benefits,,,,Ambivalent,"Describes current NZ government and council use of AI, alongside the risks and benefits it is expected to create",Both concrete and potential,"Some discussions are about current AI use, but mostly the risks are about potential AI use rather than concrete current uses of AI. "
2024-06-18 - MWS - Online checks over-zealous,Only Risks,,"Talks about the use of Turnitin's AI to assess whether student work is likely to be fraud, which students are claiming is not a highly accurate tool (Risk 7.3). Additionally, talks about AI use for academic fraud (Risk 4.3). ",,Negative,"Describes student and educator's current thoughts about AI use for academic fraud, and the AI tools used to help detect academic fraud via AI use. ",Concrete/existing,
2024-06-19 - STF - Netsafe turning the tables on,Only Benefits,,,,Positive,Describes new ReScam bot being used to waste scammers' time. ,Concrete/existing,
2024-06-20 - RNZ - New AI video tech- It brings a,Both Risks and Benefits,,"They're talking about use of AI for deliberate misleading of the public (disinformation, Risk 4.1) rather than scamming a targeted individual (Risk 4.3). Some of the content is also talking about a loss of consensus of reality (Risk 3.2). I've highligted content early-on in the article as risk 3.2 even though it's only clarified that they're concerned about loss of consensus of of reality in the later sections of the article. Note that this article is NOT a risk of an AI accidentally or unintentionally creating misinformation (Risk 3.1); it's referring to a risk of people deliberately creating misinformation (i.e. disinformation), so this is not categnorized as a reference to Risk 3.1, even in the final sentence, as it follows on from an article that talks about deliberate spread of incorrect information. ",,Negative,Describes risks of increased disinformation as AI-generated videos become higher quality,Both concrete and potential,"Overall negative: even though one sentence indicates a few positives, it's couched in a setence saying this technology is bad on balance. "
2024-06-20 - RNZ - Reality check- Headless flamin,Only Risks,,"When talking about Risk 6.3, it's referenced in a manner which demonstrates it is not a risk that is eventuating at the moment. ",,Negative,"An AI-generated image competition was won by a submission that was a real photograph, rather than AI-generated. ",Concrete/existing,Tone is negative about AI and it's impact on human creativity
2024-06-21 - HBT - AI boost for farm productivity,Only Benefits,,,,Positive,AI-camera assisted teat-sprayers are improving efficiency of farms. ,Concrete/existing,
2024-06-21 - PRS - Artificial intelligence monito,Only Benefits,,,,Positive,AI monitoring of birdsong is helping a local community group achieve its goals. ,Concrete/existing,
2024-06-22 - RNZ - Survey attempts to pin down ho,Only Benefits,,"Doesn't talk about AI race dynamics, as it's talking about the use of ChatGPT-like systems by third parties, not a race to develop AI faster to get the market share. ",,Positive,A new survey is being launched to understand the impact of AI on productivity. ,Concrete/existing,"They're referring to current AI technology, though they're saying that it's unclear how current AI tech imrpoves productivity because there's not enough data. Although they don't have data, they do view AI as a potential positive, so the overall tone is positive towards AI. "
2024-06-25 - MBE - $300k boost for AI project to,Only Benefits,,,,Positive,New research aims to produce a technique for assessing origin of wine without opening the bottle. ,Hypothetical or predicted,"Technology hasn't yet been developed, just aiming to produce it. "
2024-06-25 - RNZ - 99 percent of terrorist materi,Both Risks and Benefits,,"It's unclear whether it's referring to threats from AI producing incorrect information, or people deliberately producing incorrect information with or without AI. As it follows up with discussion about alerts to users for content that was produced by AI, I will assume that it's referring to disinformation generated by AI, intentionally (thus, Risk 3.2)",,Ambivalent,"Describes current use of AI to remove terrorist material on Metal's platforms, and other approaches to informing users about AI-generated content and misinformation. ",Concrete/existing,Is positive about the use of AI for automated flagging and removal of terrorist content; is negative or neutral about the use of AI for producing content. 
2024-06-27 - PST - AI and recruitment  dont fear,Both Risks and Benefits,,"Many of the risks are negated in the final paragraphs: People aren't relying on AI over their own judgement (Risk 5.1 negated), People aren't losing their recruitment jobs because AI is supporting in recruitment (Risk 6.2 negated).",,Positive,Describes the impact of AI on recruitment with a range of examples. ,Concrete/existing,
2024-06-28 - TDN - Kiwi innovator strikes blow fo,Only Benefits,,"Refers to the loss of a role (weather boats, or sailor reading the weather) but doesn't refer to this as a negative. ",,Positive,Describes an AI weather-modelling tool to support sailors when racing. ,Concrete/existing,
2024-06-29 - STF - AI causes major rethink as uni,Both Risks and Benefits,,"Talks about academic fraud using AI (Risk 4.3), the risk that AI-detectors used to catch cheating aren't accurate enough (Risk 7.3), the risk that LLMs generate false information (Risk 3.1) and risk of ",,Negative,Explains rates of academic misconduct in universities relating to AI use,Concrete/existing,
2024-06-29 - STF - Avatars game addresses childho,Both Risks and Benefits,,,"This has a high relevance to Risk 5.1 over-reliance, but it doesn’t mention this at all. The final box mentions ""safety risks"" without explaining what these are; they probably involve pricacy and security of data, as well as risks of over-reliance (5.1) and prodicing incorrect information (3.1). However, none of these are spelled out in the article. Notably, they're mentioning their work with psychologists as ensuring that it's trained on relevant educational content, but they don't actually refer to or explain what the risk is, if the AI model isn't adequately trained on that content. Therefore, I haven't included this as a reference to any risks other than generic safety risk. ",Positive,Describes new digital avatars that motivate kids to do healthy habits. ,Concrete/existing,
"2024-07-03 - RNZ - AI for school tutoring, instan",Both Risks and Benefits,,"I've coded the following sentence as a reference to Risk 3 (Misinformation) instead of a sub-domain, because it's unclear whether they're talking about the spread of misinformation via AI producing incorrect content incidentally, being used to fracture the sense of reality, or AI being prompted to create misinformation that can be shared for disinformation purposes (Closer to risk 4.1). However, Domain 3 seeems like a closer bet. ","Notably, doesn't reference students losing ability to carry out cognitive tasks as a result of using AI (Risk 5.2), which may be a risk if they are using Ai for school work. ",Ambivalent,Describes reactions to NZ Government intention to increase use of AI in education and healthcare. ,Concrete/existing,
2024-07-03 - RNZ - Experts cautiously optimistic,Both Risks and Benefits,,"This article references both AI producing incorrect information (Risk 3.1), e.g. when it gets commonplace facts incorrect, and also Risk 7.3 (lack of capability for tasks like tutoring, or mammograpm results). It mentions the assumption that companies will use data provided to them, but is talking about it in the context of information security and privacy (Risk 2.1) rather than concerns about the concentration of power that arises from large companies collecting data and using it to reinforce power dynamics that support them (Risk 6.1)",,Ambivalent,A range of experts comment on the government's stated intention to support more use of AI in schools and for applications such as mammograms. ,Concrete/existing,
2024-07-04 - RNZ - Concerns raised as GPs embrace,Both Risks and Benefits,,,,Ambivalent,A range of experts comment on the government's stated intention to support more use of AI in health applications,Concrete/existing,
2024-07-05 - RNZ - NZ climate change model shows,Only Benefits,,,,Positive,Researchers are using AI to model the risk of climate-related weather events in various pacific island countries. ,Hypothetical or predicted,
"2024-07-08 - SPN - Fake news, AI slop and little",Only Risks,,"This article uses a lot of irony to describe bad things happening with AI (Meta's content recommender algorithm, and AI slop). There aren't many explicit statements about the rangers or harms, but the tone is very clear that these are harmful or negative, and therefore I'm counting these as references to the risk (where in some other articles, description of a harm occuring without explicitly referencing the risk has been considered not a reference). Examples from this article: Describes a number of alarming or disturbing images (Risk 1.2, toxic content). Across all the references to scams, it seems like it's clearly talking about AI-generated images used to scam people (Risk 4.3). Talks about perception that media must adopt AI to keep up (Risk 6.2), otherwise they'll lose their ability to do business. Describes lack of regulation being unable to be cleaned up (Risk 6.5). While the final 5 paragraphs seems to be talking about loss of consensus on reality, they emphasize the wasteland feeling rather than the fractered perceptions of reality, so I haven't counted this as a reference to Risk 3.2, but rather a reference to the increasing distance between humans, and increased disconnection. Additionally, references to misinformation are generally references to deliberately-fake content (Risk 4.3, scams), rather than indicental production of misinformation (Risk 3.1). Alternatively, other references are to misinformation that aren't clearly AI generated - it could just be recommended content that was produced by a human on the platform. ",Doesn't clearly mention risk of loss of consensus on reality. ,Negative,"A description of Facebook's history and current use of AI algorithm and AI slop, fake news and misinformation on the platform. ",Concrete/existing,
2024-07-11 - PRS - Researcher using AI to combat,Only Benefits,"Natural language processing is making the data more accessible and actionable, where they can both search and respond to potentially heated conversations. ","It's unclear whether machine learning is involved in the standard search (seems to be based on keyword search). Therefore, it's unclear whether this is an example of a lack of capability of AI (moderation and algorithms only detecting certain slurs and swear words). It may be referring to a standard search algorithm, and it doesn't explicitly say that the poor-capablity search is using AI, so I won't count this as an example of 7.3. It looks like AI is mostly referred to in the latter section of the article. ",,Positive,"A researcher is planning to us generative AI to detect hate speech in natural language that is not picked up by keyword search, and to respond to hate speech to diffuse heat. ",Both concrete and potential,"Talks about research that hasn't yet been completed, and their previous work with the Alan Turing institute. "
2024-07-16 - RNZ - AI could soon attend work meet,Both Risks and Benefits,,"There's a reference about being able to automate a meeting away, but this isn't referencing a job being redundant, so this is not a reference to 6.2",,Ambivalent,A range of experts comment on current and expected technology for summarizing and attending work meetings. ,Both concrete and potential,
2024-07-16 - RNZ - Government checks for bias in,Both Risks and Benefits,,"Risk 7.3: AI failing to do the task it was intended for. In this case, they're saying that facial recognition AI is no longer a problem (risk dismissed) but they explain the risk in a lot of detail, so I've included this as a risk referenced (explanatory) and a risk dismissed. ",,Positive,Describes a government tender for facial recogition tech that can be used to support liveness checks in government agencies. ,Concrete/existing,
2024-07-16 - RNZ - New app uses avatars as digita,Only Benefits,,,,Positive,Describes a new application that will get kids motivated to take care of themselves and their community. ,Hypothetical or predicted,
"2024-07-18 - SPN - The more you know about AI, th",Both Risks and Benefits,"Includes Shove's enthusiasm for the new technology, which I've classed as the benefit of Technological Progress in and of itself (Category 6). ","A reference to existential freakouts - I'll class this as ""risk - unspecified domain."" Similarly, ""I read too much about the philosophical and ethical concerns about AI"" doesn't explain what these are, enough to assign a domain. Risk 5.1 is a reference to anthropomorphizing, ",,Ambivalent,Describes the journalist's time learning about AI in a miniMBA,Concrete/existing,"Probably takes an overall positive tone, but spends a lot of time on the risks and negatives such that I've classed it as ambivalent. "
2024-07-18 - TST - Report warns of barrier to rea,Both Risks and Benefits,,"NZ companies being slow to uptake AI may lead to NZ companies missing out on market share; this feels more like Risk 6.2 (inequality from AI use in labour) than 6.1 (power concentration towards those who control AI). The reference to race dynamics (Risk 6.4) displays the race as something to join, rather than a risk of creating unsafe deployment conditions and incentives. Therefore, this is marked as a risk negated rather than referenced-as-risk. ",,Ambivalent,"Describes potential productivity gains on New Zealand from AI adoption, and impact on businesses and economy. ",Both concrete and potential,"Unclear if it's only referring to current technology creating these benefits, or potential for these benefits to arise based on predictions about a technology that isn't yet available. "
2024-07-20 - RNZ - Govt agencies slow to take up,Only Benefits,,,,Neutral,States that no government agencies are using a master contract set up 4 years ago for a facial recognition provider. ,Concrete/existing,
2024-07-24 - NZH - Silver Fern Farms,Only Benefits,,,,Positive,Describes use of machine learning to calculate carbon absorption for company carbon accounting. ,Concrete/existing,
